"subject_1","subject_2","subject_3","subject_4","subject_5","subject_6","subject_7","subject_8","value_self_block","value_other_block","exchange_rate_block","value_self_trial","value_other_trial","exchange_rate_trial","trial_block_number","block_number","trial"
53,0,92,0,23,0,18,0,1,0.25,0.25,1,0.208,0.208,1,1,1
43,0,90,0,24,0,20,0,1,0.25,0.25,1,0.213,0.213,2,1,2
20,0,90,0,16,0,24,0,1,0.25,0.25,1,0.218,0.218,3,1,3
10,0,90,0,14,0,24,0,1,0.25,0.25,1,0.223,0.223,4,1,4
28,0,94,0,17,0,30,0,1,0.25,0.25,1,0.228,0.228,5,1,5
16,0,90,0,9,0,26,0,1,0.25,0.25,1,0.233,0.233,6,1,6
10,0,80,0,12,0,19,0,1,0.25,0.25,1,0.238,0.238,7,1,7
35,0,93,0,8,0,30,0,1,0.25,0.25,1,0.248,0.248,8,1,8
4,0,89,0,14,0,30,0,1,0.25,0.25,1,0.253,0.253,9,1,9
20,0,86,0,16,0,17,0,1,0.25,0.25,1,0.258,0.258,10,1,10
12,0,88,0,12,0,22,0,1,0.25,0.25,1,0.263,0.263,11,1,11
14,0,92,0,13,0,25,0,1,0.25,0.25,1,0.268,0.268,12,1,12
25,0,91,0,16,0,20,0,1,0.25,0.25,1,0.273,0.273,13,1,13
9,0,90,0,15,0,25,0,1,0.25,0.25,1,0.278,0.278,14,1,14
12,0,93,0,17,0,20,0,1,0.25,0.25,1,0.283,0.283,15,1,15
13,0,89,0,18,0,40,0,1,0.25,0.25,1,0.288,0.288,16,1,16
2,0,89,0,19,0,25,0,1,0.25,0.25,1,0.293,0.293,17,1,17
3,0,90,0,21,0,15,0,1,0.25,0.25,1,0.298,0.298,18,1,18
0,0,75,0,15,0,27,0,1,0.25,0.25,1,0.303,0.303,19,1,19
21,0,85,0,19,0,30,0,1,0.25,0.25,1,0.308,0.308,20,1,20
92,81,77,1,0,66,13,78,1,0.33,0.33,1,0.285,0.285,1,2,21
87,82,78,1,0,72,28,41,1,0.33,0.33,1,0.29,0.29,2,2,22
83,31,79,1,0,70,20,76,1,0.33,0.33,1,0.3,0.3,3,2,23
60,52,78,3,0,70,23,67,1,0.33,0.33,1,0.305,0.305,4,2,24
65,100,74,5,0,65,16,75,1,0.33,0.33,1,0.31,0.31,5,2,25
84,17,77,7,0,71,30,73,1,0.33,0.33,1,0.32,0.32,6,2,26
77,10,79,2,0,70,21,72,1,0.33,0.33,1,0.33,0.33,7,2,27
85,7,71,11,0,64,24,59,1,0.33,0.33,1,0.335,0.335,8,2,28
90,83,76,1,0,68,17,59,1,0.33,0.33,1,0.34,0.34,9,2,29
89,12,74,0,0,60,21,73,1,0.33,0.33,1,0.345,0.345,10,2,30
73,12,69,1,0,65,22,26,1,0.33,0.33,1,0.35,0.35,11,2,31
85,3,75,1,0,60,32,41,1,0.33,0.33,1,0.355,0.355,12,2,32
87,95,65,1,0,65,29,42,1,0.33,0.33,1,0.36,0.36,13,2,33
65,21,74,1,0,65,32,70,1,0.33,0.33,1,0.365,0.365,14,2,34
80,63,76,5,0,65,33,71,1,0.33,0.33,1,0.37,0.37,15,2,35
80,100,75,2,0,70,28,57,1,0.33,0.33,1,0.375,0.375,16,2,36
70,27,72,4,0,66,42,71,1,0.33,0.33,1,0.39,0.39,17,2,37
80,79,72,2,0,65,16,66,1,0.33,0.33,1,0.395,0.395,18,2,38
52,22,60,0,0,70,20,4,1,0.33,0.33,1,0.4,0.4,19,2,39
62,73,75,2,0,70,75,48,1,0.33,0.33,1,0.405,0.405,20,2,40
1,0,87,3,0,68,19,63,1,0.5,0.5,1,0.437,0.437,1,3,41
1,0,0,1,0,68,30,69,1,0.5,0.5,1,0.442,0.442,2,3,42
2,0,0,1,0,68,25,61,1,0.5,0.5,1,0.447,0.447,3,3,43
2,0,19,2,0,68,22,55,1,0.5,0.5,1,0.452,0.452,4,3,44
1,0,58,2,0,66,34,82,1,0.5,0.5,1,0.497,0.497,5,3,45
0,0,47,1,0,65,25,55,1,0.5,0.5,1,0.512,0.512,6,3,46
1,0,2,3,0,65,20,59,1,0.5,0.5,1,0.517,0.517,7,3,47
3,0,0,2,0,64,20,61,1,0.5,0.5,1,0.527,0.527,8,3,48
4,0,93,0,0,64,13,59,1,0.5,0.5,1,0.537,0.537,9,3,49
1,0,1,0,0,63,17,62,1,0.5,0.5,1,0.547,0.547,10,3,50
1,0,100,1,0,63,23,63,1,0.5,0.5,1,0.557,0.557,11,3,51
2,0,5,2,0,64,28,63,1,0.5,0.5,1,0.562,0.562,12,3,52
1,0,0,2,0,63,28,57,1,0.5,0.5,1,0.567,0.567,13,3,53
1,0,0,1,0,63,29,61,1,0.5,0.5,1,0.572,0.572,14,3,54
3,0,14,12,0,63,14,61,1,0.5,0.5,1,0.577,0.577,15,3,55
2,0,59,1,0,62,29,57,1,0.5,0.5,1,0.592,0.592,16,3,56
1,0,0,4,0,62,37,62,1,0.5,0.5,1,0.597,0.597,17,3,57
2,0,62,6,0,61,27,60,1,0.5,0.5,1,0.602,0.602,18,3,58
1,0,15,3,0,62,29,58,1,0.5,0.5,1,0.607,0.607,19,3,59
1,0,96,1,0,60,33,59,1,0.5,0.5,1,0.622,0.622,20,3,60
39,35,60,59,1,0,0,0,1,1,1,1,0.838,0.838,1,4,61
44,44,55,70,3,0,0,0,1,1,1,1,0.843,0.843,2,4,62
26,38,53,31,5,5,0,0,1,1,1,1,0.898,0.898,3,4,63
46,36,51,74,5,0,0,0,1,1,1,1,0.943,0.943,4,4,64
43,45,57,31,7,0,0,0,1,1,1,1,0.948,0.948,5,4,65
41,51,48,11,25,15,50,100,1,1,1,1,1.003,1.003,6,4,66
47,55,46,52,20,15,50,100,1,1,1,1,1.018,1.018,7,4,67
30,53,47,76,10,15,50,100,1,1,1,1,1.038,1.038,8,4,68
46,55,46,57,10,14,50,100,1,1,1,1,1.058,1.058,9,4,69
46,53,47,26,10,10,50,100,1,1,1,1,1.068,1.068,10,4,70
38,54,43,6,5,14,50,100,1,1,1,1,1.098,1.098,11,4,71
47,61,41,73,10,13,50,100,1,1,1,1,1.108,1.108,12,4,72
47,12,32,93,15,13,50,100,1,1,1,1,1.128,1.128,13,4,73
39,67,35,76,10,15,50,100,1,1,1,1,1.143,1.143,14,4,74
47,58,43,74,20,13,50,100,1,1,1,1,1.153,1.153,15,4,75
29,63,39,78,15,13,50,100,1,1,1,1,1.163,1.163,16,4,76
46,65,37,2,25,9,51,100,1,1,1,1,1.183,1.183,17,4,77
42,59,32,3,13,13,50,100,1,1,1,1,1.198,1.198,18,4,78
39,66,44,88,20,14,50,100,1,1,1,1,1.218,1.218,19,4,79
48,54,41,100,15,13,50,100,1,1,1,1,1.233,1.233,20,4,80
40,38,30,2,13,30,35,35,1,2,2,1,1.682,1.682,1,5,81
100,38,30,1,10,29,28,40,1,2,2,1,1.712,1.712,2,5,82
30,33,29,0,18,29,29,37,1,2,2,1,1.727,1.727,3,5,83
80,37,29,17,26,20,18,10,1,2,2,1,1.742,1.742,4,5,84
100,37,28,24,24,28,14,25,1,2,2,1,1.782,1.782,5,5,85
25,36,28,0,18,28,28,35,1,2,2,1,1.792,1.792,6,5,86
72,36,28,6,16,28,21,0,1,2,2,1,1.822,1.822,7,5,87
84,38,26,0,12,26,22,10,1,2,2,1,1.902,1.902,8,5,88
78,29,24,28,13,25,14,25,1,2,2,1,2.027,2.027,9,5,89
25,33,25,21,12,25,16,25,1,2,2,1,2.037,2.037,10,5,90
97,33,24,0,13,24,20,12,1,2,2,1,2.062,2.062,11,5,91
100,32,23,59,15,24,20,25,1,2,2,1,2.122,2.122,12,5,92
99,31,23,36,19,23,23,25,1,2,2,1,2.202,2.202,13,5,93
100,31,23,22,20,23,23,49,1,2,2,1,2.237,2.237,14,5,94
88,31,22,0,16,23,10,30,1,2,2,1,2.267,2.267,15,5,95
